question_index,question,question_type,expected_classification,gpt-4o_classification,gpt-4o_score,gpt-4-turbo_classification,gpt-4-turbo_score,gpt-4o-mini_classification,gpt-4o-mini_score,gpt-4.1-mini_classification,gpt-4.1-mini_score,gpt-4.1-nano_classification,gpt-4.1-nano_score
305,Is everything okay with my little one since I'm not feeling well?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
306,I'm wondering about various things related to my well-being with the healthcare provider.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
307,"I'm not sure if I have anything to ask right now, but perhaps another time. Thanks!",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
308,"Mujhe lagta hai ke mere condition mein weight ko lekar kuch concern hai kyunki ab tak jitna ummeed thi, utna nahi laga.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
309,I've developed a health issue during pregnancy. Is it likely to resolve once the pregnancy is over?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
310,"Something was noticed during a recent check-up about varying activity levels, with periods of a lot of movement followed by times of less movement.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
311,What are the signs before something starts? How can you tell if something is really happening?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
312,"Now that I'm quite far along, what kind of attention should I be thinking about for myself and my situation?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
313,I’m curious about things related to health and eating for both myself and a little one.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
314,Is it okay to plan a trip during an early stage of pregnancy?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
315,"Feeling unwell at night lately, especially with temperature changes. What can be done to feel better?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
316,Yeh supplements din mein bar bar kaise lena chahiye?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
317,I'm expecting and experiencing something unusual; is it okay for my situation or could there be concerns?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
318,I have a young child with an issue affecting one leg; is there any way it might get better?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
319,What should I focus on for better growth?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
320,What precautions should be considered during this stage?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
321,I've been active for several months and recently started feeling discomfort in an area of my body. What should I consider doing?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
322,I'm in a certain stage but not feeling well and often feel tired. What should I do?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
323,"I'm in a situation where someone close to me thinks it's not important for me to attend certain health-related appointments, saying they're a waste of resources.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
324,"Vague version: Maine kuch le liya, kya usse koi dikkat ho sakti hai?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
325,There's something unusual happening with one side of my body; should I be concerned?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
326,Is it usual for this kind of change to happen at this point?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
327,What should someone consider eating during and after a particular time in their life?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
328,Is it okay for someone expecting to have certain snacks?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
329,What are some things I can consider for supporting growth?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
330,Is it common to feel unwell and have no appetite recently?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
331,What should I do to look after my well-being in this situation?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
332,I'm seeking options for future choices related to family matters and places where I can get guidance nearby.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
333,I've heard from some people that there might be something that pregnant individuals take for the baby's development.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
334,"This is my first time experiencing this, and I'm feeling anxious about the process. Will the doctor do something with medication?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
335,When should I go to the hospital for the birth if I'm due around the end of September next year?,vague,VAGUE,WELL_SPECIFIED,0,VAGUE,1,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1
336,What steps should I take if I urgently need assistance?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
337,What should I do if I'm experiencing difficulty with a common condition during a particular life stage?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
338,What should I do if I'm experiencing unusual sensations while expecting?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
339,How much should I drink daily in my current condition?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
340,"Mujhe pregnancy hai aur mere kisi hissa se ab kuch nikal raha hai, kya ye theek hai?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
341,Is it possible for me to travel to another city for an important appointment at the end of the month?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
342,What can be done to help with certain growth concerns?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
343,Could my actions and activities be having an impact on my situation?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
344,What should be consumed to influence a baby's complexion?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
345,I have a busy lifestyle and find it difficult to focus on my well-being.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
346,"Mujhe kuch jagahon par dard hota hai, kabhi kabhi ye alag alag jagahon par mehsoos hota hai.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
347,Meri body me dard hota hai or mujhe kabhi kabhi ek side niche bhi dard mehsoos hota hai.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
348,What can I include in meals for better well-being?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
349,Is it fine if I continue my activities even though I need to move a certain way?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
350,"Previously, I inquired if they can perceive us.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
351,Can you explain something related to health because my partner is dealing with an issue?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
352,"Kuch wajahon se aksar pareshaan rehta hoon, ismein koi sujhav hai?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
353,Is it okay to have something really flavorful if I'm really wanting it?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
354,Main isase pehle ek health expert se mili thi aur unhone mujhe ek scan karke kuch halka sa issue dikhaya. Kya yeh issue khud se theek ho jayega?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
355,"Mujhe kuch waqt ho gaya hai, aur ab ek naya period shuru ho raha hai, to kya mujhe is dauran kuch check-up ya test karne chahiye?",vague,VAGUE,VAGUE,1,VAGUE,1,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1
356,Mere bacche ki tabiyat kaisi hai? Mujhe thoda bata sakte hain?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
357,"Mujhe kuch takleef si ho rahi hai, ek ajeeb sa ehsaas hai jo thoda takleef de raha hai.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
358,What should be eaten during the last part of a period?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
359,I'm concerned about my well-being and experience fatigue along with unusual sensations.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
360,Is it typical to feel discomfort during certain activities?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
361,Delivery ke liye tayyari karne ke liye kya hona chahiye,vague,VAGUE,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
362,Me ye Jana chhti hu ke mujhe ye kaisi takleef ho rahi hai,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
363,"Mujhe kuch health issue tha aur ab medicine le rahi hu, baby par koi asar toh nahi hoga na?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
364,I have a health condition. Will it affect my situation?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
365,Why do I have a sensation in my body that bothers me at night? It's affecting my sleep.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
366,"Mera test positive aaya hai aur mera blood group bhi thoda alag hai, to kya baby ke liye sab kuch theek rahega ya kuch alag procedure ki zarurat padegi?",vague,VAGUE,VAGUE,1,VAGUE,1,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1
367,"Running for a while now  
Feeling something unusual down there today",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
368,9 mahine ke baad kitne der mein ye process hota hai?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
369,Maine kisi test se check kiya tha usmein ek hi line dikh rahi he,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
370,Vague version: Kuch samay baad sharir me dard hona shuru ho jata hai.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
371,Why am I unable to rest? I'm experiencing long periods without proper sleep.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
372,Mujhe lagbhag aadha waqt ho gaya hai...par mujhe koi mehsoos nahi hota.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
373,I'm experiencing discomfort in some areas of my body to the point where it's difficult for me to rest or move around easily.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
374,Agar kisi ko aisa situation ho jaye toh kya waisa process sambhav hai?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
375,"I'm far from any medical facilities, could you offer advice on what I should consume or stay away from?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
376,Aj Mera kuch waqt ho gaya hai or koi ehsaas nahi ho re.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
377,I have a young child and am expecting another. Is it okay to continue what I'm doing?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
378,Mujhe yeh jaana hai ki kya us waqt yeh waise hi hoga jaise mai soch raha hoon?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
379,I've been experiencing some discomfort; what might help?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
380,I'm worried about something that might affect my child. What should I do?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
381,Abdomen me pain kyo ho raha h jab thoda samay hi hua h?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
382,I’ve noticed an unusual change that seems less severe than before. What should I do?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
383,"I feel unwell often despite trying different things, and I have no appetite. What should I do?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
384,I'm experiencing discomfort in a certain area when I'm resting or lying down.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
385,This isn't my first time experiencing this situation; past outcomes required medical intervention.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
386,"Recently, I've noticed a change in my weight. Is that typical?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
387,"Pregnancy ke dauran, ek achhe vikas ke liye wazan kaisa hona chahiye?",vague,VAGUE,WELL_SPECIFIED,0,VAGUE,1,WELL_SPECIFIED,0,WELL_SPECIFIED,0,VAGUE,1
388,I'm at a stage in my life where my health is a focus. Could you provide some general advice on what might be good to consume?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
389,"Kuch samay tak kuch nahi dikh raha tha, lekin ab thoda badlav mehsoos ho raha hai.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
390,"If someone is further along in a situation and feels the need to consume additional fluids, could this indicate a particular trait? What might be causing dryness in certain areas as well? Could you provide some insight?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
391,"I'm a few months along in my pregnancy, but there seems to be a concern with development. What are some things I can try?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
392,Pehle wale tareeke se hua tha toh kya iss baar doosra tareeka mumkin hai?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
393,Kaun se samay tak bache ka vikas poora ho jata hai?,vague,VAGUE,VAGUE,1,VAGUE,1,WELL_SPECIFIED,0,VAGUE,1,WELL_SPECIFIED,0
394,Kis stage par bacha pura develop hota hai?,vague,VAGUE,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
395,"Mujhe waqt ke bare me thoda samajhne me madad chahiye, kya aap mujhe bata sakte hain?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
396,"As someone with a busy job, what kinds of self-care should I consider?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
397,"Both of us were born early, and I'm concerned about the timing when we have a child.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
398,Pregnancy ke is stage pe baby ki development or overall well-being ke liye kya step lena chaiye?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
399,"My last cycle was some time ago, and I think I'm about halfway through a certain situation.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
400,What should I consider for better well-being for both of us?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
401,"Earlier, there seemed to be more movement, but now there's noticeably less. What might be causing this change?",vague,VAGUE,VAGUE,1,VAGUE,1,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1
402,Is it okay for my baby to weigh that much at this age?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
403,Mere bacche ka ek issue hai aur ek check-up ki zarurat hai.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
404,Can I keep something meant for the baby and use it at another time?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
405,Mam mere health m problem h kuch bint rahi h aur uncomfortable lag rha h,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
406,How can I find out more about what's coming?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
407,Could you tell me more about it in another language?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
408,Is it okay to have a drink made with certain herbs and spices?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
409,Mujhe delivery ke liye tips chahiye.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
410,Mujhe kuch samasya ho rahi hai aur mujhe lagta hai ki yeh kuch naya shuru hone ki wajah se hai.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
411,"Mera kuch aisa hota hai mahine mein jab shuru mein aur kuch din baad dark color dikhta hai, lekin beech mein kuch aur color hota hai.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
412,"Mujhe lag raha hai mere sath kuch ajeeb ho raha hai, kya yeh normal hai?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
413,"What should I consume to support my well-being, and can I get consistent advice for maintaining health throughout this period?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
414,What should I consider doing to monitor things when expecting? And what advice can you offer for maintaining well-being during that time?,vague,VAGUE,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
415,It's been a while and there's some occasional discomfort in the area.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
416,"Mera pehla bacha ek medical procedure se hua tha, ab uski umar do saal ke kareeb hai.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
417,Aathven mahine mein bacche ki movements theek hai iska matlab kuch hone wala hai,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
418,What warning signs should I be aware of in my situation?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
419,Is it really necessary for me to use that supplement?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
420,"I'm experiencing some discomfort and pressure, what might be causing this?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
421,"It's past when I expected something to happen, but I haven't noticed any changes or sensations yet. Should I be concerned?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
422,Kya is samay kuch kha sakte hain dudh ke sath?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
423,"Sab ko achha samjhe, kuchh naya sikhe, aur theek rahe.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
424,Time ke baad kaunse dry fruits lena theek rahega?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
425,"How can I tell when it's time for something important to happen, and what signs should I watch for?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
426,"Mera baby ka issue hai koi cheez sahi se nahi dikh rahi aur andar kuch theek se nahi pohonch raha, saans lene me dikkat ho rahi hai kisi expert ne bola.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
427,"I have something going on, could it impact my child’s well-being?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
428,When will I notice any changes?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
429,Is it safe to take a tablet during the later months of pregnancy?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
430,Mujhe samajhna h ki mere liye abhi kya samay ho raha h.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
431,I've been at this stage for a while. What should I focus on with my habits and diet?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
432,Is doing certain physical tasks at this stage of pregnancy advisable?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
433,"Jab samay ho tab dekh lo, abhi kuch mahine ho gaye hain, pehle bhi ek baar dekha tha.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
434,I'm trying to find options and places related to my future plans. Can you help?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
435,"Mujhe phela baccha ek tareeke se hua tha, kya ye bhi waisa hi hoga?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
436,"Agar koi natural process ke liye tayari karna chahta ho, to usko abhi se kya karna chahiye?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
437,"Meri age ho chuki hai, to kya ye possible hai?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
438,"I last experienced something in early August...  
When should I consider getting checked for any issues?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
439,"Mujhe health issue h, to kya iska koi effect ho sakta h?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
440,Ab kya early stage mein discomfort aur uneasiness hona theek hai?,vague,VAGUE,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
441,Kya ye jagah bilkul muft hai?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
442,"I'm quite far along in my pregnancy, and I've been told that there is a positioning issue with the baby.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
443,Mam mera weight kam ho raha hai aur health mein kuch dikkat hai.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
444,Should I consider taking this injection? Is it beneficial for me?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
445,There seems to be an issue related to some aspect of the pregnancy progress. Can you provide more details about what's happening?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
446,"My situation is a bit unclear because something is delayed, and I used a method to find out what might be happening. The results were mixed, with one part being clear and the other not so much. Can you help me understand what's going on?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
447,I'm experiencing a minor issue. What should I consider doing?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
448,"Mujhe yah puchna he ki mere sharir me dard ho raha he, kya ye is dauran thik he?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
449,"Abi tak koi supplement nhi liya, ab kya karna chahiye?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
450,Ultrasound kya hota hai or kab karna hota hai pregnancy ke dauran,vague,VAGUE,WELL_SPECIFIED,0,WELL_SPECIFIED,0,WELL_SPECIFIED,0,WELL_SPECIFIED,0,WELL_SPECIFIED,0
451,Mujhe thakaan mehsoos ho rahi hai aur kabhi kabhi jaga pe bethne se takleef hoti hai. नींद भी ज्यादा आती है.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
452,Ulta hone par bache ka normal delivery se hona mumkin hai kya?,vague,VAGUE,WELL_SPECIFIED,0,VAGUE,1,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1
453,Could you let me know if the medical office is operating on that date?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
454,I'm expecting and I'm trying to figure out how far along I am based on when things last happened. Can you help me understand how many weeks it's been?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
455,Is it concerning for the health of a baby if there's a certain condition present in an area of the body?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
456,What are some ways to address health concerns that might arise during pregnancy?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
457,Vague version: Agar is dauran kuch alag ho raha ho to koi dikkat ho sakti hai kya?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
458,"Pehla baccha kuch procedure se hua tha kuch saal ho gaye, dusre bacche ke liye chances kaise hain?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
459,"Mujhe kuch samay aur khana-peena ke baare mein jaan'na hai, kya aap sujhav de sakte hain?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
460,"I'm wondering, what signs should I pay attention to at this stage?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
461,"There are concerns about the heartbeat rates in relation to the birth process. Is there potential for complications, and what is the likelihood of a natural outcome in this situation?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
462,What should I consume at this stage??? Please recommend a good option...,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
463,Final stage me diet kaisi honi chahiye taki sab kuch theek rahe?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
464,Mujhe aisa kya karna chahiye ki meri family healthy aur acchi lage?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
465,"Feeling good about one thing, but there's discomfort somewhere else—any thoughts?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
466,"I'm currently expecting, and it's in the later stages now, but the growth isn't quite where I hoped it would be. What steps can I take to enhance the situation?",vague,VAGUE,VAGUE,1,VAGUE,1,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1
467,"Lately, certain things have been bothering me. Is this usual?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
468,Agar kisi situation me risk ho to kya normal process ke zariye sab kuch theek ho sakta hai?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
469,"Abhi mera kuch time complete hone wala hai, kya mujhe koi dawai leni chahiye?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
470,"Delivery ke baare mein soch rahe hain, isiliye thoda darr lag raha hai.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
